,Inception,2018,2019,2020,2021,L12M,L3M,L1M
Start,2018-03-01,2018-03-01,2019-01-02,2020-01-02,2021-01-04,2020-04-01,2021-01-04,2021-03-01
End,2021-03-31,2018-12-31,2019-12-31,2020-12-31,2021-03-31,2021-03-31,2021-03-31,2021-03-31
Growth,317.5%,41.4%,22.5%,148.0%,-2.9%,72.6%,-2.9%,-2.6%
Return annualized,56.7%,41.4%,22.5%,148.0%,-2.9%,72.6%,-10.9%,-25.0%
Volatility annualized,20.0%,15.4%,14.7%,27.7%,6.4%,19.2%,12.7%,8.9%
Sharpe Ratio,2.84,2.7,1.53,5.34,-0.45,3.79,-0.86,-2.8
Calmar,7.4,9.1,2.85,19.81,-2.71,11.71,-2.71,-7.48
Sortino,4.68,4.72,2.59,7.19,-1.22,5.66,-1.22,-3.89
Kelly criterion,0.2,0.19,0.14,0.27,-0.07,0.22,-0.07,-0.28
Skew,2.07,1.06,2.16,1.77,0.4,1.09,0.4,-0.11
Kurtosis,16.87,6.43,20.13,12.04,3.55,6.19,3.55,2.23
VaR (5%),0.7%,1.1%,0.5%,1.2%,1.3%,1.3%,1.3%,1.0%
CVaR (5%),2.1%,1.8%,1.7%,2.6%,1.6%,2.0%,1.6%,1.1%
Max Drawdown,-8.0%,-5.6%,-8.0%,-7.5%,-4.3%,-6.2%,-4.3%,-3.7%
Recovery (days),167,52,167,48,43,48,43,2
Best Day,10.6%,5.4%,7.0%,10.6%,2.1%,5.9%,2.1%,0.8%
Worst Day,-5.9%,-2.5%,-3.7%,-5.9%,-1.9%,-2.8%,-1.9%,-1.1%
Mean Return daily,0.19%,0.16%,0.08%,0.36%,-0.04%,0.22%,-0.04%,-0.11%
Average Win daily,0.9%,0.9%,0.6%,1.4%,0.7%,1.0%,0.7%,0.4%
Average Loss daily,-0.6%,-0.6%,-0.5%,-0.8%,-0.6%,-0.7%,-0.6%,-0.5%
Win rate,52.0%,52.3%,52.4%,53.1%,44.3%,52.4%,44.3%,43.5%
