Date,ARQuant,S&P 500,Nasdaq 100,HFRI Equity Total
2018-03,0.04025004058274684,-0.0274,-0.0408,-0.0063
2018-04,0.0069468326566748395,0.0052,0.0051,0.0033
2018-05,0.06450480866956543,0.0243,0.0567,0.0134
2018-06,0.09251402277876242,0.0058,0.0115,-0.008100000000000001
2018-07,0.025825778906857,0.037,0.028,0.0051
2018-08,0.05820690111044735,0.0319,0.0578,0.0042
2018-09,-0.009919841616757075,0.0059,-0.0028,-0.0060999999999999995
2018-10,-0.005763306590668149,-0.0691,-0.086,-0.0467
2018-11,0.03243679875082184,0.0185,-0.0026,-0.0019
2018-12,0.05203692792936465,-0.088,-0.0866,-0.0383
2019-01,0.03306551219325571,0.0801,0.0901,0.051399999999999994
2019-02,0.01996952792996165,0.0324,0.0299,0.018799999999999997
2019-03,0.043808484633206746,0.0181,0.0392,0.0042
2019-04,0.0012000210562370661,0.0409,0.055,0.0167
2019-05,-0.026169928187750324,-0.0638,-0.0823,-0.030699999999999998
2019-06,0.07640522622174872,0.0696,0.0759,0.030299999999999997
2019-07,-0.007015996291871329,0.0151,0.0233,0.0021
2019-08,-0.0362469299749536,-0.0167,-0.019,-0.0174
2019-09,0.029284168883779937,0.0195,0.0092,0.0004
2019-10,-0.003621068101688052,0.0221,0.0438,0.013999999999999999
2019-11,0.023965038075898004,0.0362,0.0407,0.0167
2019-12,0.05634715892645792,0.0291,0.0389,0.025
2020-01,0.003330265321999981,-0.0004,0.0304,-0.01
2020-02,0.28040374981254645,-0.0792,-0.0606,-0.0317
2020-03,0.08643028437412181,-0.1249,-0.0729,-0.10890000000000001
2020-04,0.11705231243297431,0.127,0.1497,0.0697
2020-05,-0.027948465401561817,0.0476,0.066,0.0313
2020-06,0.1354203972617769,0.0177,0.0629,0.026000000000000002
2020-07,0.14489005654625964,0.0589,0.0735,0.0392
2020-08,0.15587437812822036,0.0698,0.1094,0.0341
2020-09,0.015227670188866504,-0.0374,-0.0578,-0.0123
2020-10,0.010765411499613853,-0.0249,-0.0304,0.0031
2020-11,0.03542444364404518,0.1088,0.1123,0.0828
2020-12,0.025137872667153616,0.037,0.049,0.057699999999999994
2021-01,-0.040850269395628414,-0.0102,0.0026,0.0143
2021-02,0.03981188401162328,0.0278,-0.0013,0.048499999999999995
2021-03,-0.02592626672964138,0.0454,0.0172,
